EPEAT Qualified,Touchscreen,ENERGY STAR Certified,Number Of eSATA Ports,2-in-1 Design,Processor Brand,Media Card Reader,Number Of Auxiliary Outputs,Additional Audio/Video Connectors,"Number Of External 3.5"" Bays",EPEAT Level,Speakers,Video Memory,Type of Memory (RAM),Integrated Microphone,Battery Life,Video Memory Type,System Memory RAM Speed,Operating System,"Number Of Internal 5.25"" Bays",Game Ports,Networking,Screen Size,System Memory (RAM),Bluetooth-Enabled,Number Of PCI-E x16 Slots,Battery Type,Operating System Architecture,NFC Enabled,Voice Recognition,Number Of Memory Slots,Built-in Webcam,Hard Drive Capacity,Graphics,Embedded Mobile Broadband,Optical Drive,Number Of PCI-E x1 Slots,Number Of Ethernet Ports,Bluetooth Enabled,HDMI Output,Ethernet,Wireless Display,Touch Screen,Number Of HDMI Outputs,Digital Media Reader or Slots,Port Type(s),Best Buy PC App,Number Of PCI Slots,Computer Hard Drive Size,Number Of DVI Ports,LTE,Gaming Series,Audio Technology,Green Compliance,"Number Of External 5.25"" Bays",Number Of PCI-E x2 Slots,Color Category,Screen Size (Measured Diagonally),Direct-Disc Labeling,Cache Memory,Number Of PCI-E x4 Slots,Processor,Wireless Networking,Graphics Card,PCMCIA Slots,Built-In Webcam,Ultrabook,Optical Drive Type,Blu-Ray Player,Drive Capacity,Number Of AGP Slots,pricematch,S-Video Outputs,Pointing Device,"Number Of Internal 3.5"" Bays",System Memory (RAM) Expandable To,Numeric Keypad,IEEE 1394 FireWire Ports,System Memory RAM Expandable To,TV Tuner,USB 2.0 Ports,Laptop Weight,Backlit Keyboard,Number Of PCI-E x8 Slots,Operating System Bit Version,Parallel Ports,Touchpad Type,Hard Drive Type,Display Type,Optical Drive Speeds,Memory Slots Total,Wireless Capability,Operating System Platform,Included Software,Blu-ray Player,Processor Speed,Convertible,2-in-1,Audio,Additional Accessories Included,Number Of USB Port(s),Carrier Compatibility,Number Of DisplayPort Outputs,Battery Capacity,Number Of VGA Ports,Processor Model,MPEG,Provider_Product_ID,Speaker Type,Hard Drive RPM,3D-Capable,Screen Resolution,Modem,Number Of IEEE 1394 Ports,Graphics Chip
Yes,No,No,0,Yes,Intel,Yes,1,No,0,Gold,No,No,LPDDR3,No,10.5 hours,Shared,1600 megahertz,Windows 8.1,No,No,No,13.3 inches,8 gigabytes,No,No,Lithium-ion,64-bit,No,Yes,2,No,512 gigabytes,Integrated,No,No,No,0,Yes,No,No,No,Yes,1,No,USB 3.0|HDMI|DisplayPort,No,No,No,0,No,No,HD audio,No,0,No,Multi,No,No,4 megabytes,No,No,Wireless-AC,Intel HD Graphics 5500,No,Yes,No,None,No,No,0,yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,HP Imagepad supporting multitouch gestures without on/off button,Solid State Drive,Touchscreen LED,No,No,No,No,"Dragon Assistant, CyberLink Power Media Player, CyberLink YouCam and more",No,2.4 gigahertz,No,No,No,No,3,No,1,No,0,Intel 5th Generation Core i7,No,No,Integrated stereo,No,No,2560 x 1440 (QHD),No,No,Intel
No,No,No,No,No,Intel,Yes,No,No,No,No,No,No,DDR3L SDRAM,No,No,No,No,Windows 7 Home Premium with SP1,No,No,No,18.4 inches,8 gigabytes,No,No,Lithium-ion,64-bit,No,No,No,No,1080 gigabytes,No,None,No,No,1,Yes,No,Built-in Gigabit Ethernet LAN,No,No,1,No,DisplayPort|Ethernet|HDMI|USB,No,No,No,No,No,No,No,No,No,No,Silver,No,No,6 megabytes,No,No,Wireless-AC,AMD Radeon R9 M290X,No,Yes,No,DVD+RW|DVD-RW|CD-RW,No,No,No,yes,No,No,No,No,No,No,16 gigabytes,No,No,No,No,No,No,No,Touchpad,SATA + Solid State Drive,LED-LCD,No,No,No,No,No,No,2.5 gigahertz,No,No,No,No,4,No,1,No,0,Intel 4th Generation Core i7,No,No,No,5400 revolutions per minute,No,No,No,No,AMD
No,No,No,No,No,Intel,Yes,No,No,No,No,No,8000 megabytes,DDR3 SDRAM,No,6 hours,Dedicated,No,Windows 8.1,No,No,No,17.3 inches,16 gigabytes,No,No,Lithium-ion,64-bit,No,No,No,No,1120 gigabytes,Discrete,None,No,No,No,Yes,No,No,No,No,1,No,USB 2.0,No,No,No,No,No,No,Realtek ALC892-GR,No,No,No,Black,No,No,No,No,No,No,NVIDIA GeForce GTX 980M,No,Yes,No,DVD+R,No,No,No,yes,No,No,No,No,No,No,32 gigabytes,No,No,No,Yes,No,No,No,Integrated,SATA + Solid State Drive,LED,No,No,No,No,No,No,2.5 gigahertz,No,No,No,"9-cell lithium-ion battery, power adapter, Windows recovery CD, driver discs",2,No,No,No,No,Intel 4th Generation Core i7,No,No,No,No,No,No,No,No,NVIDIA
Yes,No,Yes,0,No,AMD,Yes,1,No,No,Silver,No,No,DDR3L SDRAM,No,4.5 hours,Shared,No,Windows 8.1,No,No,No,15.6 inches,4 gigabytes,No,No,Lithium-ion polymer,64-bit,No,No,2,No,500 gigabytes,Integrated,None,No,No,1,No,No,10/100Base-T Ethernet LAN (RJ-45 connector),No,No,1,No,Ethernet|HDMI|USB 2.0|USB 3.0,No,No,No,No,No,No,High-definition,No,No,No,Black,No,No,1 megabytes,No,No,Wireless-B|Wireless-G|Wireless-N,AMD Radeon HD 8210,No,Yes,No,DVD+RW|DVD-RW|DVD+R|DVD-R|DVD-ROM|CD-RW|CD-R|CD-ROM,No,No,No,yes,No,No,No,No,Yes,No,4 gigabytes,No,No,No,No,No,No,No,Touchpad with multitouch gesture support,SATA,LED-LCD,No,No,No,No,"CyberLink PowerDirector, CyberLink PowerDirector; Amazon Kindle and more",No,1.0 gigahertz,No,No,No,No,3,No,0,2800 milliampere hours,0,AMD E-Series,No,No,Stereo,5400 revolutions per minute,No,1366 x 768 (HD),No,No,AMD
Yes,No,No,No,Yes,Intel,Yes,No,No,No,Silver,No,1792 megabytes,DDR3L SDRAM,No,No,No,No,Windows 8.1,No,No,No,11.6 inches,4 gigabytes,No,No,Lithium-ion,64-bit,No,No,No,No,500 gigabytes,No,None,No,No,1,Yes,No,Built-in 10/100Base-T Ethernet LAN,No,Yes,1,No,HDMI|USB|Ethernet,No,No,No,No,No,No,Beats,No,No,No,Purple,No,No,No,No,No,Wireless-B|Wireless-G|Wireless-N,Intel HD,No,Yes,No,None,No,No,No,yes,No,No,No,No,No,No,0 gigabytes,No,No,No,No,No,No,No,Imagepad with multitouch gesture support,SATA,Touchscreen LED,No,No,No,No,"Windows Essentials: Movie Maker; CyberLink PowerDirector, CyberLink PhotoDirector and more",No,2.16 gigahertz,No,No,No,No,3,No,No,No,No,Intel Pentium,No,No,Internal,5400 revolutions per minute,No,1366 x 768 (HD),No,0,Intel
Yes,No,Yes,0,Yes,Intel,Yes,1,No,0,Silver,No,1792 megabytes,DDR3L SDRAM,No,7 hours,Total Available,No,Windows 8.1,0,No,No,13.3 inches,6 gigabytes,No,No,Alkaline,64-bit,No,No,0,No,1000 gigabytes,Integrated,None,No,No,1,Yes,No,Built-in 10/100BASE-T Ethernet,No,Yes,1,No,3.5mm audio|Ethernet|HDMI|USB,No,No,No,No,No,No,BeatsAudio,No,0,No,Silver,No,No,No,No,No,Wireless-B|Wireless-G|Wireless-N,Intel HD graphics 4400,No,Yes,No,None,No,No,No,yes,No,No,0,No,No,No,0 gigabytes,No,No,No,No,No,No,No,Imagepad with multitouch gesture support,SATA,Touchscreen LED,No,No,No,No,"Evernote; CyberLink PowerDirector, CyberLink PhotoDirector, CyberLink YouCam and more",No,1.7 gigahertz,No,No,No,No,3,No,0,3820 milliampere hours,0,Intel 4th Generation Core i5,No,No,Internal,5400 revolutions per minute,No,1366 x 768 (HD),No,0,Intel
No,No,No,No,No,Intel,Yes,No,No,No,No,No,No,DDR3 SDRAM,No,No,No,No,Windows 7 Home Premium,No,No,No,17.3 inches,6 gigabytes,No,No,Lithium-ion,64-bit,No,No,1,No,500 gigabytes,No,None,No,No,1,Yes,No,Built-in Gigabit Ethernet LAN,No,No,1,No,Ethernet|HDMI|USB,No,No,No,No,No,No,No,No,No,No,Gray,No,No,3 megabytes,No,No,Wireless-B|Wireless-G|Wireless-N,Intel HD Graphics 4000,No,Yes,No,DVD+RW|DVD-RW|CD-RW,No,No,No,yes,No,No,No,No,No,No,8 gigabytes,No,No,No,No,No,No,No,Touchpad with multitouch gesture support,SATA,Widescreen LCD,No,No,No,No,Bing Bar and more,No,2.4 gigahertz,No,No,No,No,3,No,0,No,0,Intel 3rd Generation Core i3,No,No,No,5400 revolutions per minute,No,No,No,No,Intel
Yes,Yes,Yes,No,No,AMD,No,No,No,No,No,Internal,No,DDR3 SDRAM,No,Not available,No,No,Windows 8.1,No,None,Built-in 10/100/1000 Gigabit Ethernet LAN (RJ-45 connector),No,6 gigabytes,Yes,No,No,No,No,No,No,Yes,No,AMD Radeon HD 8650G,No,Not included,No,No,No,Yes,No,No,No,No,"Yes, digital media card reader",No,No,No,750GB,No,No,No,No,No,No,No,No,"15.6""",No,4MB on die Level 2,No,AMD A10-Series,Wireless-B+G+N,AMD Radeon HD 8650G,None,No,No,No,No,750GB,No,No,None,HP ControlZone trackpad,No,Nonexpandable,No,None,No,No,2 USB 3.0; 2 USB 2.0,Standard (more than 5.5 lbs.),Yes,No,64-bit,None,No,No,HD LED touchscreen,No,No,No,Windows,"CyberLink PowerDirector, CyberLink PhotoDirector, CyberLink Power2Go; Dragon Naturally Speaking and more",No,2.5GHz (with Turbo CORE up to 3.5GHz),No,No,Beats Audio,No,No,No,No,No,No,No,No,No,No,No,No,No,None,No,AMD/ATI
No,No,No,No,Yes,Intel,Yes,No,No,No,No,No,No,DDR3L,No,5 hours,Shared,1600 megahertz,Windows 8.1,No,No,No,15.6 inches,8 gigabytes,No,No,Prismatic,64-bit,No,No,No,No,500 gigabytes,Integrated,No,No,No,1,Yes,No,10/100/1000 Mbps Ethernet LAN (RJ-45 connector),No,Yes,1,No,Ethernet|HDMI|USB 2.0|USB 3.0,No,No,No,No,No,No,SonicMaster,No,No,No,Black,No,No,3 megabytes,No,No,Wireless-B|Wireless-G|Wireless-N,Intel HD,No,Yes,No,None,No,No,No,yes,No,No,No,No,No,No,8 gigabytes,No,No,No,No,No,No,No,Built-in wide touchpad,SATA,LED,No,No,No,No,No,No,2.7 gigahertz,No,No,No,No,3,No,No,No,No,Intel 4th Generation Core i5,No,No,No,5400 revolutions per minute,No,1366 x 768 (HD),No,No,Intel
No,No,No,No,No,Intel,Yes,No,No,No,No,No,No,DDR3L,No,No,Shared,No,Windows 8.1,No,No,No,15.6 inches,8 gigabytes,No,No,Lithium-ion polymer,64-bit,No,No,No,No,1000 gigabytes,Integrated,None,No,No,1,Yes,No,No,No,Yes,1,No,USB 2.0|USB 3.0|HDMI,No,No,No,No,No,No,BeatsAudio,No,No,No,Silver,No,No,4 megabytes,No,No,Wireless-AC,Intel HD Graphics 4400,No,Yes,No,None,No,No,No,No,No,No,No,No,No,No,0 gigabytes,No,No,No,Yes,No,No,No,None,No,Touchscreen LED,No,No,No,No,No,No,2.0 gigahertz,No,No,No,"3-cell lithium-ion polymer battery, AC adapter",3,No,No,No,No,Intel 4th Generation Core i7,No,No,BeatsAudio,5400 revolutions per minute,No,1920 x 1080 (Full HD),No,No,Intel
No,No,No,No,No,AMD,No,No,No,No,No,No,No,DDR3 SDRAM,No,No,Other,No,Windows 7 Professional,No,No,No,15.6 inches,8 gigabytes,No,No,Lithium-ion,64-bit,No,No,1,No,256 gigabytes,No,None,No,No,1,Yes,No,Built-in 10/100/1000 Ethernet LAN,No,No,0,No,Ethernet|USB,No,No,No,0,No,No,No,No,No,No,Black,No,No,4 megabytes,No,No,Wireless-A|Wireless-B|Wireless-G|Wireless-N,AMD Radeon HD 8650G,No,Yes,No,DVD+RW|DVD-RW|CD-RW,No,No,No,yes,No,No,No,No,No,No,0 gigabytes,No,No,No,No,No,No,No,Multigesture touchpad,Other,LED-LCD,No,No,No,No,Microsoft Office 365 1-month trial,No,2.5 gigahertz,No,No,No,No,4,No,0,No,0,AMD A10-Series,No,No,No,No,No,1920 x 1080 (Full HD),No,0,AMD
No,No,No,No,No,Intel,No,No,No,No,No,No,No,DDR3L SDRAM,No,No,No,No,No,No,No,No,15.6 inches,4 gigabytes,No,No,Other,No,No,No,1,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Black,No,No,No,No,No,No,Intel HD,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Touchpad,No,Widescreen TFT-LCD,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Intel
No,No,Yes,No,No,Intel,Yes,No,No,No,No,No,No,DDR3L SDRAM,No,No,No,No,Chrome OS,No,No,No,11.6 inches,2 gigabytes,No,No,Lithium-polymer,No,No,No,No,No,32 gigabytes,No,None,No,No,0,Yes,No,None,No,Yes,1,No,HDMI|USB,No,No,No,No,No,No,No,No,No,No,White,No,No,2 megabytes,No,No,Wireless-A|Wireless-B|Wireless-G|Wireless-N,Intel HD,No,Yes,No,None,No,No,No,yes,No,No,No,No,No,No,0 gigabytes,No,No,No,No,No,No,No,Touchpad with click-anywhere functionality,Other,Touchscreen LED,No,No,No,No,No,No,1.4 gigahertz,No,No,No,No,2,No,0,3950 milliampere hours,0,Intel Celeron,No,No,No,No,No,No,No,No,Intel
Yes,No,No,No,No,Intel,Yes,No,No,No,Silver,No,No,DDR3L,No,6.55 hours,No,1600 megahertz,Windows 8.1,No,No,No,15.6 inches,4 gigabytes,No,No,Lithium-ion,64-bit,No,No,1,No,500 gigabytes,No,No,No,No,1,Yes,No,10/100,No,Yes,1,No,USB 3.0|USB 2.0|HDMI|Headphone|Microphone|Ethernet,No,No,No,No,No,No,MaxxAudio,No,No,No,Black,No,No,3 megabytes,No,No,Wireless-N,Intel HD Graphics 5500,No,Yes,No,CD|DVD,No,No,No,yes,No,No,No,No,No,No,8 gigabytes,No,No,No,No,No,No,No,Touchpad,SATA,Touchscreen LED,No,No,No,No,No,No,2.7 gigahertz,No,No,No,4-cell lithium-ion battery,3,No,No,No,No,Intel 5th Generation Core i5,No,No,Stereo,5400 revolutions per minute,No,1366 x 768 (HD),No,No,Intel
No,No,No,No,No,Intel,Yes,No,No,No,No,No,No,DDR3L,No,4 hours,No,No,Windows 8.1,No,No,No,17.3 inches,4 gigabytes,No,No,Lithium-ion,No,No,No,No,No,500 gigabytes,Integrated,No,No,No,1,Yes,No,100/1000 Mbps Ethernet LAN (RJ-45 connector),No,No,1,No,USB 2.0|USB 3.0|VGA|RJ-45|Audio in|HDMI,No,No,No,No,No,No,Dolby Advanced Audio,No,No,No,Black,No,No,No,No,No,Wireless-AC,Intel HD 4400,No,Yes,No,No,No,No,No,yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Touchpad,No,Other,No,No,No,No,"PowerDVD, Power2Go, PowerDirector",No,1.9 gigahertz,No,No,No,No,3,No,No,No,1,Intel 4th Generation Core i3,No,No,Dolby-certified,No,No,1600 x 900 (HD+),No,No,Intel
No,No,No,No,No,Intel,Yes,No,No,No,No,No,No,DDR3L,No,7.88 hours,No,1600 megahertz,Windows 8.1,No,No,No,14 inches,2 gigabytes,No,No,Lithium-ion,64-bit,No,No,1,No,500 gigabytes,No,No,No,No,No,Yes,No,No,No,No,1,No,USB 2.0|USB 3.0|HDMI|Headphone|Microphone,No,No,No,No,No,No,MaxxAudio,No,No,No,Black,No,No,1 megabytes,No,No,Wireless-B|Wireless-G|Wireless-N,Intel HD Graphics,No,Yes,No,None,No,No,No,yes,No,No,No,No,No,No,4 gigabytes,No,No,No,No,No,No,No,Touchpad,No,LED,No,No,No,No,No,No,2.58 gigahertz,No,No,No,No,3,No,No,No,No,Intel Celeron,No,No,Stereo,5400 revolutions per minute,No,1366 x 768 (HD),No,No,Intel
No,No,No,No,No,Intel,Yes,No,No,No,No,No,No,DDR3L SDRAM,No,No,No,No,Windows 7 Home Premium,No,No,No,15.6 inches,4 gigabytes,No,No,Lithium-ion,64-bit,No,No,No,No,500 gigabytes,No,None,No,No,1,Yes,No,Built-in Gigabit Ethernet LAN,No,No,1,No,Ethernet|HDMI|USB,No,No,No,No,No,No,No,No,No,No,Red,No,No,2 megabytes,No,No,Wireless-B|Wireless-G|Wireless-N,Intel Graphics Media Accelerator HD,No,Yes,No,DVD+RW|DVD-RW|CD-RW,No,No,No,yes,No,No,No,No,No,No,8 gigabytes,No,No,No,No,No,No,No,Touchpad with multitouch gesture support,SATA,Widescreen LED,No,No,No,No,Bing Bar and more,No,1.4 gigahertz,No,No,No,No,3,No,0,No,0,Intel Celeron,No,No,No,5400 revolutions per minute,No,No,No,No,Intel
No,No,No,No,No,Intel,Yes,No,No,No,No,No,No,DDR3,No,No,No,1600 megahertz,Windows 8,No,No,No,11.6 inches,4 gigabytes,No,No,Lithium-ion polymer,64-bit,No,No,No,No,500 gigabytes,No,No,No,No,1,No,No,10/100 Mbps with RJ-45 connector,No,Yes,1,No,Headphone|Ethernet|VGA|HDMI|USB 3.0|USB 2.0,No,No,No,No,No,No,SonicMaster,No,No,No,Gold,No,No,No,No,No,Wireless-B|Wireless-G|Wireless-N,Intel GMA HD,No,Yes,No,None,No,No,No,yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Standard,No,Other,No,No,No,No,No,No,1.8 gigahertz,No,No,No,2-cell lithium-ion polymer battery,3,No,No,No,1,Intel Pentium,No,No,No,5400 revolutions per minute,No,1366 x 768 (HD),No,No,Intel
No,No,No,No,No,AMD,Yes,No,No,No,No,No,No,DDR3L,No,No,No,No,Windows 8.1,No,No,No,15.6 inches,8 gigabytes,No,No,Lithium-ion,64-bit,No,No,No,No,1000 gigabytes,No,None,No,No,1,Yes,No,Built-in 10/100 Ethernet LAN,No,No,1,No,Ethernet|HDMI|USB,No,No,No,No,No,No,No,No,No,No,Black,No,No,No,No,No,Wireless-N,AMD Radeon R4,No,Yes,No,No,No,No,No,yes,No,No,No,No,No,No,0 gigabytes,No,No,No,No,No,No,No,Touchpad,SATA,LED-LCD,No,No,No,No,No,No,2 gigahertz,No,No,No,No,3,No,0,No,0,AMD A6-Series,No,No,No,5400 revolutions per minute,No,No,No,No,AMD
No,No,Yes,No,No,Intel,Yes,No,No,No,No,No,No,DDR3L,No,No,No,No,Windows 8,No,No,No,13.3 inches,8 gigabytes,No,No,Lithium-polymer,64-bit,No,No,No,No,256 gigabytes,No,None,No,No,1,Yes,No,Built-in 10/100/1000 Mbps Fast Ethernet LAN,No,Yes,1,No,DisplayPort|Ethernet|HDMI|USB,No,No,No,No,No,No,No,No,No,No,Blue,No,No,No,No,No,Wireless-AC,Intel HD Graphics 4000,No,Yes,No,None,No,No,No,No,No,No,No,No,No,No,0 gigabytes,No,No,No,No,No,No,No,Wide 16:9 touchpad,Other,Touchscreen LED,No,No,No,No,No,No,1.6 gigahertz,No,No,No,No,2,No,1,No,0,Intel 4th Generation Core i5,No,No,No,No,No,No,No,No,Intel
Yes,No,No,No,No,Intel,Yes,1,No,No,Silver,No,3898 megabytes,DDR3L SDRAM,No,No,No,No,Windows 8,No,No,No,13.3 inches,8 gigabytes,No,No,Lithium-ion polymer,64-bit,No,No,No,No,256 gigabytes,No,No,No,No,No,Yes,No,No,No,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,Silver,No,No,No,No,No,Wireless-AC,Intel HD Graphics 5300,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Synaptic touchpad,Solid State Drive,Touchscreen LED,No,No,No,No,"Dragon Assistant; CyberLink PowerDirector, CyberLink PhotoDirector, CyberLink MediaEspresso and more",No,2.6 gigahertz,No,No,No,No,2,No,No,No,No,No,No,No,BeatsAudio dual speakers,No,No,No,No,No,Intel HD Graphics 5300
No,No,No,No,No,Intel,Yes,No,No,No,No,No,3000 megabytes,DDR3L,No,7.3 hours,Dedicated,1600 megahertz,Windows 8.1,No,No,No,15.6 inches,16 gigabytes,No,No,Lithium-ion,64-bit,No,No,No,No,1128 gigabytes,Discrete,No,No,No,1,Yes,No,10/100/1000 with RJ-45 connector,No,No,1,No,USB 3.0|HDMI|Mini Display Port|Headphone|Ethernet,No,No,No,No,No,No,Klipsch,No,No,No,Silver,No,No,6 megabytes,No,No,Wireless-AC,NVIDIA GeForce GTX 970M,No,Yes,No,None,No,No,No,yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Touchpad,No,Other,No,No,No,No,No,No,3.5 gigahertz,No,No,No,8-cell lithium-ion battery,4,No,No,No,No,Intel 4th Generation Core i7,No,No,2.0 configuration,No,No,1920 x 1080 (Full HD),No,No,NVIDIA
No,Yes,No,No,No,Intel&#174;,No,No,No,No,No,Internal,No,DDR3,No,Not available,No,No,Windows 8.1,No,None,Built-in 10/100/1000 Mbps Fast Ethernet LAN,No,6 gigabytes,Yes,No,3-cell Polymer 4430 mAh,No,No,No,No,Yes,No,No,No,Not included,No,No,No,Yes,No,No,No,No,"Yes, digital media card reader",No,No,No,500GB,No,No,No,No,No,No,No,No,"13.3""",No,3MB on die Level 3,No,Intel&#174; 4th Generation Core&#8482; i3,Wireless-B+G+N,No,None,No,No,No,No,500 gigabytes,No,yes,None,Built-in wide touchpad with 3-finger support,No,8GB,No,None,No,No,2 USB 3.0; 1 USB 2.0,Ultraportable (5.5 lbs. or less),No,No,64-bit,None,No,No,HD LED touchscreen,No,No,No,Windows,Kindle and more,No,1.9GHz,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None,No,Intel
Yes,No,No,No,No,AMD,Yes,No,No,No,Silver,No,No,DDR3L SDRAM,No,No,No,No,Windows 8.1,No,No,No,15.6 inches,4 gigabytes,No,No,Lithium-ion,64-bit,No,No,1,No,500 gigabytes,No,None,No,No,1,Yes,No,Built-in Fast Ethernet LAN,No,Yes,1,No,Ethernet|HDMI|USB,No,No,No,No,No,No,No,No,No,No,Black,No,No,2 megabytes,No,No,Wireless-B|Wireless-G|Wireless-N,AMD Radeon HD 8400,No,Yes,No,DVD+RW|DVD-RW|CD-RW,No,No,No,yes,No,No,No,No,No,No,8 gigabytes,No,No,No,No,No,No,No,Touchpad with multitouch gesture support,SATA,Touchscreen LCD,No,No,No,No,CyberLink PowerDVD and more,No,2 gigahertz,No,No,No,No,3,No,0,No,0,AMD A6-Series,No,No,No,5400 revolutions per minute,No,No,No,No,AMD
No,No,No,No,No,AMD,Yes,No,No,No,No,No,No,DDR3,No,No,Shared,No,Windows 8.1,No,No,No,15.6 inches,8 gigabytes,No,No,Other,64-bit,No,No,No,No,1000 gigabytes,No,None,No,No,1,Yes,No,Built-in 10/100 Ethernet LAN,No,Yes,1,No,Ethernet|HDMI|USB,No,No,No,No,No,No,High-definition; Waves MaxxAudio,No,No,No,Black,No,No,2 megabytes,No,No,Wireless-N,AMD Radeon R4,No,Yes,No,DVD,No,No,No,yes,No,No,No,No,No,No,0 gigabytes,No,No,No,No,No,No,No,Touchpad,SATA,Touchscreen LED,No,No,No,No,No,No,2.4 gigahertz,No,No,No,No,3,No,0,No,0,AMD A6-Series,No,No,No,5400 revolutions per minute,No,1366 x 768 (HD),No,0,AMD
Yes,No,No,No,No,AMD,Yes,1,No,No,Silver,No,No,DDR3L SDRAM,No,4 hours,No,No,Windows 8.1,No,No,No,15.6 inches,4 gigabytes,No,No,Lithium-ion polymer,64-bit,No,No,0,No,500 gigabytes,Integrated,No,No,No,1,No,No,10/100Base-T Ethernet LAN (RJ-45 connector),No,No,1,No,Ethernet,No,No,No,No,No,No,High-definition,No,No,No,Black,No,No,2 megabytes,No,No,Wireless-N,AMD Radeon R4,No,Yes,No,DVD+RW,No,No,No,No,No,No,No,No,Yes,No,0 gigabytes,No,No,No,No,No,No,No,Touchpad with multitouch gesture support,SATA,LED-LCD,No,No,No,No,No,No,1.8 gigahertz,No,No,No,No,3,No,No,2800 milliampere hours,No,AMD A6-Series,No,No,Stereo,5400 revolutions per minute,No,1366 x 768 (HD),No,No,AMD
Yes,No,No,No,No,Intel,Yes,No,No,No,Silver,No,No,DDR3L SDRAM,No,6.5 hours,Total Available,No,Windows 8.1,No,No,No,15.6 inches,6 gigabytes,No,No,Lithium-ion,64-bit,No,No,No,No,750 gigabytes,No,None,No,No,1,No,No,10/100Base-T Ethernet LAN (RJ-45 connector),No,No,1,No,Ethernet|HDMI|USB 2.0|USB 3.0,No,No,No,No,No,No,No,No,No,No,Silver,No,No,No,No,No,Wireless-B|Wireless-G|Wireless-N,Intel HD Graphics 4400,No,No,No,DVD|DVD-R|DVD+R|DVD-RW|DVD+RW|DVD-ROM|CD|CD-R|CD-RW|CD-ROM,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Imagepad with multitouch gesture support,SATA,LED,No,No,No,No,No,No,3.1 gigahertz,No,No,No,No,3,No,No,2800 milliampere hours,No,Intel 4th Generation Core i7,No,No,Built-in BeatsAudio dual,5400 revolutions per minute,No,1366 x 768 (HD),No,No,Intel
No,No,No,No,Yes,Intel,Yes,1,No,No,No,No,No,DDR3L SDRAM,No,5.25 hours,No,No,Windows 8.1,No,No,No,13.3 inches,4 gigabytes,No,No,Lithium-ion,64-bit,No,No,No,No,500 gigabytes,Integrated,No,No,No,No,Yes,No,None,No,Yes,1,No,HDMI,No,No,No,No,No,No,BeatsAudio,No,No,No,White,No,No,3 megabytes,No,No,Wireless-N,Intel HD Graphics 4200,No,Yes,No,None,No,No,No,No,No,No,No,No,No,No,0 gigabytes,No,No,No,No,No,No,No,Imagepad with multitouch gesture support,Other,Touchscreen LED,No,No,No,No,No,No,1.5 gigahertz,No,No,No,No,2,No,No,4100 milliampere hours,No,Intel 4th Generation Core i3,No,No,BeatsAudio,5400 revolutions per minute,No,1366 x 768 (HD),No,No,Intel
Yes,No,No,No,No,Intel,Yes,No,No,No,Silver,No,No,DDR3L SDRAM,No,4 hours,No,No,Windows 8.1,No,No,No,15.6 inches,4 gigabytes,No,No,Lithium-ion polymer,64-bit,No,No,No,No,500 gigabytes,No,None,No,No,1,No,No,10/100Base-T Ethernet LAN (RJ-45 connector),No,Yes,1,No,No,No,No,No,No,No,No,High-definition,No,No,No,Black,No,No,No,No,No,Wireless-B|Wireless-G|Wireless-N,Intel HD Graphics 4400,No,Yes,No,DVD|DVD-R|DVD+R|DVD-RW|DVD+RW|DVD-ROM|CD|CD-R|CD-RW|CD-ROM,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Touchpad with multigesture support,No,Touchscreen LED,No,No,No,No,No,No,1.7 gigahertz,No,No,No,No,3,No,No,2800 milliampere hours,No,Intel 4th Generation Core i3,No,No,Built-in stereo,5400 revolutions per minute,No,1366 x 768 (HD),No,No,Intel
Yes,No,No,No,No,Intel,Yes,No,No,No,Bronze,No,2000 megabytes,DDR3L SDRAM,No,No,Dedicated,No,Windows 8.1,No,No,No,15.6 inches,8 gigabytes,No,No,Lithium-polymer,64-bit,No,No,No,No,1000 gigabytes,No,None,No,No,1,Yes,No,Built-in Gigabit Ethernet LAN,No,Yes,1,No,Ethernet|HDMI|USB,No,No,No,No,No,No,SonicMaster,No,No,No,Gray,No,No,6 megabytes,No,No,Wireless-AC,NVIDIA GeForce GTX 850M,No,Yes,No,DVD+RW|DVD-RW|CD-RW,No,No,No,yes,No,No,No,No,No,No,16 gigabytes,No,No,No,Yes,No,No,No,Touchpad with multitouch gesture support,SATA,Touchscreen LED,No,No,No,No,No,No,2.4 gigahertz,No,No,No,No,3,No,0,No,0,Intel 4th Generation Core i7,No,No,Internal,5400 revolutions per minute,No,No,No,0,NVIDIA
